NOMBRE_DPT,value,year
ANTIOQUIA,996,2002
ANTIOQUIA,854,2003
ANTIOQUIA,1013,2004
ANTIOQUIA,1184,2005
ANTIOQUIA,1055,2006
ANTIOQUIA,689,2007
ANTIOQUIA,1366,2008
ANTIOQUIA,1153,2009
ANTIOQUIA,1909,2010
ANTIOQUIA,1269,2011
ANTIOQUIA,1867,2012
ANTIOQUIA,1487,2013
ANTIOQUIA,2543,2014
ANTIOQUIA,1686,2015
ANTIOQUIA,3393,2016
ANTIOQUIA,2732,2017
ANTIOQUIA,1790,2018
ANTIOQUIA,1710,2019
ANTIOQUIA,5826,2020
ANTIOQUIA,1492,2021
ATLANTICO,19158,2002
ATLANTICO,14537,2003
ATLANTICO,33882,2004
ATLANTICO,26311,2005
ATLANTICO,28181,2006
ATLANTICO,25678,2007
ATLANTICO,24617,2008
ATLANTICO,28431,2009
ATLANTICO,30651,2010
ATLANTICO,21682,2011
ATLANTICO,31956,2012
ATLANTICO,12680,2013
ATLANTICO,21713,2014
ATLANTICO,14587,2015
ATLANTICO,29964,2016
ATLANTICO,53613,2017
ATLANTICO,30123,2018
ATLANTICO,27520,2019
ATLANTICO,24998,2020
ATLANTICO,22601,2021
BOLIVAR,3035,2002
BOLIVAR,1708,2003
BOLIVAR,2758,2004
BOLIVAR,4440,2005
BOLIVAR,1770,2006
BOLIVAR,4686,2007
BOLIVAR,4336,2008
BOLIVAR,6268,2009
BOLIVAR,2640,2010
BOLIVAR,3386,2011
BOLIVAR,4631,2012
BOLIVAR,2245,2013
BOLIVAR,3603,2014
BOLIVAR,3653,2015
BOLIVAR,8379,2016
BOLIVAR,12328,2017
BOLIVAR,8031,2018
BOLIVAR,7006,2019
BOLIVAR,9800,2020
BOLIVAR,6469,2021
BOYACA,302,2002
BOYACA,145,2003
BOYACA,1043,2004
BOYACA,424,2005
BOYACA,397,2006
BOYACA,313,2007
BOYACA,2046,2008
BOYACA,1029,2009
BOYACA,125,2010
BOYACA,489,2011
BOYACA,520,2012
BOYACA,253,2013
BOYACA,493,2014
BOYACA,263,2015
BOYACA,449,2016
BOYACA,1864,2017
BOYACA,665,2018
BOYACA,642,2019
BOYACA,378,2020
BOYACA,382,2021
CALDAS,6518,2002
CALDAS,5239,2003
CALDAS,7883,2004
CALDAS,6830,2005
CALDAS,8345,2006
CALDAS,8302,2007
CALDAS,8089,2008
CALDAS,11175,2009
CALDAS,8265,2010
CALDAS,8110,2011
CALDAS,10492,2012
CALDAS,7799,2013
CALDAS,10372,2014
CALDAS,9564,2015
CALDAS,25437,2016
CALDAS,32479,2017
CALDAS,19714,2018
CALDAS,15782,2019
CALDAS,18099,2020
CALDAS,15953,2021
CAQUETA,1585,2002
CAQUETA,1120,2003
CAQUETA,3046,2004
CAQUETA,1891,2005
CAQUETA,2540,2006
CAQUETA,2472,2007
CAQUETA,1580,2008
CAQUETA,2106,2009
CAQUETA,2132,2010
CAQUETA,1844,2011
CAQUETA,2664,2012
CAQUETA,643,2013
CAQUETA,1115,2014
CAQUETA,546,2015
CAQUETA,1132,2016
CAQUETA,2676,2017
CAQUETA,1687,2018
CAQUETA,1239,2019
CAQUETA,1054,2020
CAQUETA,1175,2021
CAUCA,1966,2002
CAUCA,933,2003
CAUCA,3174,2004
CAUCA,1923,2005
CAUCA,2557,2006
CAUCA,1685,2007
CAUCA,1592,2008
CAUCA,2327,2009
CAUCA,1748,2010
CAUCA,2820,2011
CAUCA,2138,2012
CAUCA,1310,2013
CAUCA,2133,2014
CAUCA,913,2015
CAUCA,2801,2016
CAUCA,5117,2017
CAUCA,3056,2018
CAUCA,2891,2019
CAUCA,2380,2020
CAUCA,1651,2021
CESAR,26881,2002
CESAR,10225,2003
CESAR,30616,2004
CESAR,34479,2005
CESAR,13251,2006
CESAR,54618,2007
CESAR,51062,2008
CESAR,27436,2009
CESAR,22073,2010
CESAR,28589,2011
CESAR,25345,2012
CESAR,31241,2013
CESAR,40711,2014
CESAR,23061,2015
CESAR,38178,2016
CESAR,62695,2017
CESAR,69076,2018
CESAR,30245,2019
CESAR,55618,2020
CESAR,42539,2021
CORDOBA,3097,2002
CORDOBA,2807,2003
CORDOBA,6081,2004
CORDOBA,4439,2005
CORDOBA,6220,2006
CORDOBA,6406,2007
CORDOBA,5823,2008
CORDOBA,7888,2009
CORDOBA,3077,2010
CORDOBA,4471,2011
CORDOBA,5094,2012
CORDOBA,2887,2013
CORDOBA,4671,2014
CORDOBA,4292,2015
CORDOBA,5219,2016
CORDOBA,7220,2017
CORDOBA,3548,2018
CORDOBA,4574,2019
CORDOBA,5265,2020
CORDOBA,4263,2021
CUNDINAMARCA,3513,2002
CUNDINAMARCA,2594,2003
CUNDINAMARCA,6552,2004
CUNDINAMARCA,5366,2005
CUNDINAMARCA,4667,2006
CUNDINAMARCA,4042,2007
CUNDINAMARCA,6400,2008
CUNDINAMARCA,7181,2009
CUNDINAMARCA,3358,2010
CUNDINAMARCA,6251,2011
CUNDINAMARCA,9491,2012
CUNDINAMARCA,2905,2013
CUNDINAMARCA,3579,2014
CUNDINAMARCA,2697,2015
CUNDINAMARCA,5086,2016
CUNDINAMARCA,8240,2017
CUNDINAMARCA,3767,2018
CUNDINAMARCA,5827,2019
CUNDINAMARCA,5686,2020
CUNDINAMARCA,5029,2021
CHOCO,5492,2002
CHOCO,10447,2003
CHOCO,5087,2004
CHOCO,4969,2005
CHOCO,5270,2006
CHOCO,11733,2007
CHOCO,4271,2008
CHOCO,6626,2009
CHOCO,4294,2010
CHOCO,3869,2011
CHOCO,5301,2012
CHOCO,2991,2013
CHOCO,4375,2014
CHOCO,4301,2015
CHOCO,9952,2016
CHOCO,12517,2017
CHOCO,8259,2018
CHOCO,6041,2019
CHOCO,5861,2020
CHOCO,5175,2021
HUILA,2033,2002
HUILA,1054,2003
HUILA,5841,2004
HUILA,2970,2005
HUILA,2614,2006
HUILA,4200,2007
HUILA,4111,2008
HUILA,5651,2009
HUILA,5978,2010
HUILA,3518,2011
HUILA,5356,2012
HUILA,2712,2013
HUILA,4028,2014
HUILA,2977,2015
HUILA,17873,2016
HUILA,11577,2017
HUILA,5167,2018
HUILA,7875,2019
HUILA,6132,2020
HUILA,4917,2021
LA GUAJIRA,3199,2002
LA GUAJIRA,1460,2003
LA GUAJIRA,5487,2004
LA GUAJIRA,2792,2005
LA GUAJIRA,3481,2006
LA GUAJIRA,5122,2007
LA GUAJIRA,3344,2008
LA GUAJIRA,6877,2009
LA GUAJIRA,5086,2010
LA GUAJIRA,2915,2011
LA GUAJIRA,4744,2012
LA GUAJIRA,1436,2013
LA GUAJIRA,1924,2014
LA GUAJIRA,841,2015
LA GUAJIRA,1300,2016
LA GUAJIRA,2647,2017
LA GUAJIRA,2084,2018
LA GUAJIRA,1421,2019
LA GUAJIRA,1267,2020
LA GUAJIRA,1481,2021
MAGDALENA,4662,2002
MAGDALENA,2794,2003
MAGDALENA,7433,2004
MAGDALENA,5797,2005
MAGDALENA,4378,2006
MAGDALENA,4880,2007
MAGDALENA,8285,2008
MAGDALENA,6650,2009
MAGDALENA,6185,2010
MAGDALENA,6383,2011
MAGDALENA,8022,2012
MAGDALENA,2629,2013
MAGDALENA,4203,2014
MAGDALENA,1982,2015
MAGDALENA,6024,2016
MAGDALENA,8305,2017
MAGDALENA,4800,2018
MAGDALENA,4944,2019
MAGDALENA,5296,2020
MAGDALENA,4247,2021
META,839,2002
META,1204,2003
META,2057,2004
META,1257,2005
META,695,2006
META,2112,2007
META,1424,2008
META,959,2009
META,1488,2010
META,842,2011
META,1288,2012
META,1694,2013
META,1625,2014
META,1169,2015
META,3696,2016
META,2435,2017
META,3113,2018
META,8202,2019
META,2827,2020
META,1736,2021
NARIÑO,11161,2002
NARIÑO,6081,2003
NARIÑO,18171,2004
NARIÑO,6369,2005
NARIÑO,17476,2006
NARIÑO,11499,2007
NARIÑO,16002,2008
NARIÑO,14793,2009
NARIÑO,17803,2010
NARIÑO,16623,2011
NARIÑO,12769,2012
NARIÑO,8813,2013
NARIÑO,11845,2014
NARIÑO,9049,2015
NARIÑO,16392,2016
NARIÑO,38775,2017
NARIÑO,44413,2018
NARIÑO,29338,2019
NARIÑO,33887,2020
NARIÑO,27729,2021
NORTE DE SANTANDER,4140,2002
NORTE DE SANTANDER,1416,2003
NORTE DE SANTANDER,2329,2004
NORTE DE SANTANDER,4045,2005
NORTE DE SANTANDER,3382,2006
NORTE DE SANTANDER,5426,2007
