NOMBRE_DPT,value,year,zscore
ANTIOQUIA,996,2002,-0.7110414195252727
ANTIOQUIA,854,2003,-0.8365141193793658
ANTIOQUIA,1013,2004,-0.6960200399652756
ANTIOQUIA,1184,2005,-0.5449226338029522
ANTIOQUIA,1055,2006,-0.6589083963464594
ANTIOQUIA,689,2007,-0.9823098621675725
ANTIOQUIA,1366,2008,-0.3841055114547484
ANTIOQUIA,1153,2009,-0.5723145612358881
ANTIOQUIA,1909,2010,0.09569502390280477
ANTIOQUIA,1269,2011,-0.46981573600296694
ANTIOQUIA,1867,2012,0.0585833802839885
ANTIOQUIA,1487,2013,-0.27718863341006345
ANTIOQUIA,2543,2014,0.6559041204344599
ANTIOQUIA,1686,2015,-0.10135013150186256
ANTIOQUIA,3393,2016,1.406973098434313
ANTIOQUIA,2732,2017,0.8229065167191331
ANTIOQUIA,1790,2018,-0.009454633017174661
ANTIOQUIA,1710,2019,-0.08014347800539613
ANTIOQUIA,5826,2020,3.5567975966385985
ANTIOQUIA,1492,2021,-0.2727705805982996
ATLANTICO,19158,2002,-0.8163905008800099
ATLANTICO,14537,2003,-1.3563932927706113
ATLANTICO,33882,2004,0.904232980573618
ATLANTICO,26311,2005,0.019497828571076833
ATLANTICO,28181,2006,0.2380230873538997
ATLANTICO,25678,2007,-0.05447355581904449
ATLANTICO,24617,2008,-0.17846034703218625
ATLANTICO,28431,2009,0.26723769414304716
ATLANTICO,30651,2010,0.5266634024306764
ATLANTICO,21682,2011,-0.5214398307367772
ATLANTICO,31956,2012,0.6791636498700261
ATLANTICO,12680,2013,-1.5733993920003984
ATLANTICO,21713,2014,-0.517817219494923
ATLANTICO,14587,2015,-1.3505503714127818
ATLANTICO,29964,2016,0.44638166297409926
ATLANTICO,53613,2017,3.209966606800291
ATLANTICO,30123,2018,0.46496215289199705
ATLANTICO,27520,2019,0.16077966700339388
ATLANTICO,24998,2020,-0.13393728628552554
ATLANTICO,22601,2021,-0.4140469361798712
BOLIVAR,3035,2002,-0.7251622029341797
BOLIVAR,1708,2003,-1.2006960254750259
BOLIVAR,2758,2004,-0.8244258569234897
BOLIVAR,4440,2005,-0.22167688215807657
BOLIVAR,1770,2006,-1.1784781679034113
BOLIVAR,4686,2007,-0.1335221569545738
BOLIVAR,4336,2008,-0.25894554647175255
BOLIVAR,6268,2009,0.43339156366307396
